"","index","date","player","old_club","new_club","fee"
"1321",1147,2020-09-14,"Davide Grassini","Inter","Carrarese","Loan"
"1322",1148,2020-09-14,"Thomas Schirò","Inter","Carrarese","Loan"
"1323",1149,2020-09-14,"Roberto Piccoli","Atalanta","Spezia","Loan"
"1324",1946,2020-09-14,"Marcos Acuña"," Sporting CP","Sevilla","Transfer-€10.5M"
"1325",481,2020-09-15,"Charlie Adam","Reading","Dundee","Free"
"1326",482,2020-09-15,"Daniel Ayala","Middlesbrough","Blackburn Rovers","Free"
"1327",483,2020-09-15,"Branislav Ivanovic","Unattached","West Bromwich Albion","Free"
"1328",1150,2020-09-15,"Federico Mattiello","Atalanta","Spezia","Loan"
"1329",1151,2020-09-15,"Denis Dragu<U+0219>","Standard Liège","Crotone","Loan"
"1330",1152,2020-09-15,"Giacomo Pozzer","Inter","Monopoli","Loan"
"1331",1153,2020-09-15,"Nahuel Molina","Boca Juniors","Udinese","Free"
"1332",1154,2020-09-15,"Bryan Dabo","Fiorentina","Benevento","Undisclosed"
"1333",1155,2020-09-15,"Vedat Muriqi","Fenerbahçe","Lazio","Undisclosed"
"1334",1156,2020-09-15,"Ben Lhassine Kone","Torino","Cosenza","Loan"
"1335",1157,2020-09-15,"Vitalie Dama<U+0219>can","Torino","Waalwijk","Loan"
"1336",1158,2020-09-15,"Fallou Sarr","Bologna","Ascoli","Loan"
"1337",1159,2020-09-15,"Tomasz Kupisz","Bari","Salernitana","Loan"
"1338",1160,2020-09-15,"Mattia Del Favero","Juventus","Pescara","Loan"
"1339",1161,2020-09-15,"Niccolò Monti","Parma","Fano","Loan"
"1340",1162,2020-09-15,"Davide Frattesi","Sassuolo","Monza","Loan"
"1341",1575,2020-09-15,"Adrián Diéguez","Alavés","Fuenlabrada","Transfer-other"
"1342",1720,2020-09-15,"Jeison Lucumí"," Tigres UANL","Elche","Transfer-other"
"1343",1721,2020-09-15,"Juan Sánchez Miño"," Independiente","Elche","Transfer-other"
"1344",2026,2020-09-15,"Mario González"," Clermont","Villarreal","Transfer-other"
"1345",2046,2020-09-15,"Mario González","Villarreal"," Tondela","Loan-other"
"1346",484,2020-09-16,"Pervis Estupiñán","Watford","Villarreal","£15m"
"1347",485,2020-09-16,"Scott Hogan","Aston Villa","Birmingham City","Undisclosed"
"1348",486,2020-09-16,"Kamil Józwiak","Lech Poznan","Derby County","Undisclosed"
"1349",487,2020-09-16,"Emiliano Martínez","Arsenal","Aston Villa","£17m"
"1350",718,2020-09-16,"Joel Asoro","Swansea City","Genoa","loan"
"1351",719,2020-09-16,"George Hirst","Leicester City","Rotherham United","loan"
"1352",720,2020-09-16,"Joel Valencia","Brentford","Legia Warsaw","loan"
"1353",1163,2020-09-16,"Stefano Negro","Monza","Perugia","Loan"
"1354",1164,2020-09-16,"Stefano Scappini","Reggiana","Modena","Loan"
"1355",1165,2020-09-16,"Joel Asoro","Swansea","Genoa","Loan"
"1356",1166,2020-09-16,"Milan Badelj","Lazio","Genoa","Undisclosed"
"1357",1167,2020-09-16,"Edoardo Goldaniga","Sassuolo","Genoa","Loan"
"1358",1168,2020-09-16,"Filippo Melegoni","Atalanta","Genoa","Loan"
"1359",1169,2020-09-16,"Kevin Agudelo","Genoa","Spezia","Loan"
"1360",1170,2020-09-16,"Giacomo Calò","Genoa","Pordenone","Loan"
"1361",1171,2020-09-16,"Christos Donis","Panathinaikos","Ascoli","Loan"
"1362",1172,2020-09-16,"Ermin Ghazoini","Frosinone","Ascoli","Undisclosed"
"1363",1173,2020-09-16,"Marcel Büchel","Juve Stabia","Ascoli","Free"
"1364",1174,2020-09-16,"Borja Valero","Inter","Fiorentina","Free"
"1365",1175,2020-09-16,"Jeison Murillo","Sampdoria","Celta","Loan"
"1366",1176,2020-09-16,"Michael Folorunsho","Napoli","Reggina","Loan"
"1367",1177,2020-09-16,"Darian Males","Luzern","Inter","Undisclosed"
"1368",1178,2020-09-16,"Michael Ntube","Inter","Pro Sesto","Loan"
"1369",1179,2020-09-16,"Jacopo Gianelli","Inter","Pro Sesto","Loan"
"1370",1180,2020-09-16,"Ricardo Faty","Ankaragücü","Reggina","Free"
"1371",1181,2020-09-16,"Luigi Carillo","Genoa","Casertana","Loan"
"1372",1182,2020-09-16,"Aniello Viscovo","Crotone","Fano","Loan"
"1373",1183,2020-09-16,"Leonardo Raggio","Genoa","Lecco","Loan"
"1374",1669,2020-09-16,"Matos","Cádiz","Málaga","Loan-other"
"1375",1670,2020-09-16,"Javi Navarro","Cádiz","Albacete","Loan-other"
"1376",1688,2020-09-16,"Jeison Murillo"," Sampdoria","Celta Vigo","Loan-other"
"1377",1707,2020-09-16,"Yoshinori Muto"," Newcastle United","Eibar","Loan-other"
"1378",1722,2020-09-16,"Tete Morente","Málaga","Elche","Transfer-€500K"
"1379",1768,2020-09-16,"Fayçal Fajr","Getafe"," Sivasspor","Transfer-other"
"1380",1769,2020-09-16,"Ignasi Miquel","Getafe","Leganés","Loan-other"
"1381",1817,2020-09-16,"Aleksandar Jovanovic","Huesca"," Apollon Limassol","Transfer-other"
"1382",2027,2020-09-16,"Pervis Estupiñán"," Watford","Villarreal","Transfer-€15M"
"1383",488,2020-09-17,"Simeon Akinola","Barnet","Southend United","Free"
"1384",489,2020-09-17,"Jonathan Grounds","Birmingham City","Swindon Town","Free"
"1385",490,2020-09-17,"Alan McCormack","Northampton Town","Southend United","Free"
"1386",721,2020-09-17,"Benik Afobe","Stoke City","Trabzonspor","loan"
"1387",722,2020-09-17,"Josh Eccles","Coventry City","Gillingham","loan"
"1388",723,2020-09-17,"Liam Feeney","Blackpool","Tranmere Rovers","loan"
"1389",724,2020-09-17,"Conor Gallagher","Chelsea","West Bromwich Albion","loan"
"1390",725,2020-09-17,"Tom James","Hibernian","Wigan Athletic","loan"
"1391",726,2020-09-17,"Jack Roles","Tottenham Hotspur","Burton Albion","loan"
"1392",727,2020-09-17,"Indiana Vassilev","Aston Villa","Burton Albion","loan"
"1393",1184,2020-09-17,"Alberto De Francesco","Reggina","Avellino","Undisclosed"
"1394",1185,2020-09-17,"Edoardo Vergani","Inter","Bologna","Loan"
"1395",1186,2020-09-17,"Antonín Barák","Udinese","Verona","Loan"
"1396",1187,2020-09-17,"Filippo Romagna","Cagliari","Sassuolo","Undisclosed"
"1397",1188,2020-09-17,"Alessandro Tripaldelli","Sassuolo","Cagliari","Undisclosed"
"1398",1189,2020-09-17,"Rafael","Cagliari","Spezia","Free"
"1399",1190,2020-09-17,"Gabriel Charpentier","Genoa","Reggina","Loan"
"1400",1191,2020-09-17,"Reginaldo","Reggina","Catania","Undisclosed"
"1401",1192,2020-09-17,"Alessandro Di Munno","Monza","Pro Sesto","Loan"
"1402",1193,2020-09-17,"Marko Brkic","Dinamo Zagreb","Empoli","Loan"
"1403",1194,2020-09-17,"Francesco Rodio","Crotone","Pro Vercelli","Loan"
"1404",1195,2020-09-17,"Luca Verna","Pisa","Catanzaro","Undisclosed"
"1405",1196,2020-09-17,"Axel Campeol","Sampdoria","Grosseto","Loan"
"1406",1197,2020-09-17,"Nicola Murru","Sampdoria","Torino","Loan"
"1407",1198,2020-09-17,"Lorenzo De Silvestri","Torino","Bologna","Free"
"1408",1199,2020-09-17,"Marash Kumbulla","Hellas Verona","Roma","Loan"
"1409",1200,2020-09-17,"Matteo Cancellieri","Roma","Hellas Verona","Loan"
"1410",1201,2020-09-17,"Aboudramane Diaby","Roma","Hellas Verona","Loan"
"1411",1202,2020-09-17,"Giulio Favale","Reggiana","Cesena","Loan"
"1412",1203,2020-09-17,"Tolgay Arslan","Fenerbahçe","Udinese","Free"
"1413",1804,2020-09-17,"Dimitris Siovas","Leganés","Huesca","Transfer-€1M"
"1414",491,2020-09-18,"Thiago","Bayern Munich","Liverpool","£20m"
"1415",492,2020-09-18,"Nathan Cameron","Macclesfield Town","Wigan Athletic","Free"
"1416",493,2020-09-18,"Sam Finley","Accrington Stanley","Fleetwood Town","Free"
"1417",494,2020-09-18,"Joel Grant","Plymouth Argyle","Swindon Town","Free"
"1418",495,2020-09-18,"Jack Sowerby","Fleetwood Town","Northampton Town","Undisclosed"
"1419",728,2020-09-18,"Lewis Baker","Chelsea","Trabzonspor","loan"
"1420",729,2020-09-18,"Cyrus Christie","Fulham","Nottingham Forest","loan"
"1421",730,2020-09-18,"Shilow Tracey","Tottenham Hotspur","Shrewsbury Town","loan"
"1422",731,2020-09-18,"Bradley Webb","Bristol City","Newport County","loan"
"1423",1204,2020-09-18,"Jakub Labojko","Slask Wroclaw","Brescia","Undisclosed"
"1424",1205,2020-09-18,"Frank Tsadjout","Milan","Cittadella","Loan"
"1425",1206,2020-09-18,"Filippo Costa","Napoli","Virtus Entella","Loan"
"1426",1207,2020-09-18,"Gianluca Gaetano","Napoli","Cremonese","Loan"
"1427",1208,2020-09-18,"Gonzalo Higuaín","Juventus","Inter Miami","Free"
"1428",1209,2020-09-18,"Mirco Lipari","Juventus","Empoli","Loan"
"1429",1210,2020-09-18,"Leonardo Manfredi","Atalanta","Empoli","Loan"
"1430",1211,2020-09-18,"Andrea Favilli","Genoa","Verona","Loan"
"1431",1212,2020-09-18,"Jean-Daniel Akpa Akpro","Salernitana","Lazio","Undisclosed"
"1432",1213,2020-09-18,"Tiago Casasola","Lazio","Salernitana","Loan"
"1433",1214,2020-09-18,"Andreas Karo","Lazio","Salernitana","Loan"
"1434",1215,2020-09-18,"Cristiano Lombardi","Lazio","Salernitana","Loan"
"1435",1216,2020-09-18,"Antonio Santurro","Bologna","Catania","Loan"
"1436",1217,2020-09-18,"Andrea Pinamonti","Genoa","Inter","Undisclosed"
"1437",1218,2020-09-18,"Isnik Alimi","Juventus","Šibenik","Loan"
"1438",1219,2020-09-18,"Aly Mallé","Udinese","Ascoli","Undisclosed"
"1439",1576,2020-09-18,"Javi Muñoz","Alavés","Mirandés","Loan-other"
"1440",496,2020-09-19,"Chuba Akpom","PAOK","Middlesbrough","Undisclosed"
"1441",497,2020-09-19,"Ki-Jana Hoever","Liverpool","Wolverhampton Wanderers","£9m"
"1442",498,2020-09-19,"Diogo Jota","Wolverhampton Wanderers","Liverpool","£41m"
"1443",499,2020-09-19,"Sergio Reguilón","Real Madrid","Tottenham Hotspur","£29m"
"1444",500,2020-09-19,"Bertrand Traoré","Lyon","Aston Villa","£17m"
"1445",732,2020-09-19,"Gareth Bale","Real Madrid","Tottenham Hotspur","loan"
"1446",733,2020-09-19,"Carel Eiting","Ajax","Huddersfield Town","loan"
"1447",734,2020-09-19,"Davide Zappacosta","Chelsea","Genoa","loan"
"1448",1220,2020-09-19,"Gabriele Corbo","Bologna","Ascoli","Loan"
"1449",1221,2020-09-19,"Leonardo Candellone","Napoli","Bari","Two-year loan"
"1450",1222,2020-09-19,"Gianmarco Zigoni","Venezia","Novara","Loan"
"1451",1223,2020-09-19,"Mirza Hasanbegovic","Lokomotiv Plovdiv","Venezia","Undisclosed"
"1452",1224,2020-09-19,"Yevhen Shakhov","Lecce","AEK Athens","Undisclosed"
"1453",1225,2020-09-19,"Davide Zappacosta","Chelsea","Genoa","Loan"
"1454",1226,2020-09-19,"Marko Pjaca","Juventus","Genoa","Loan"
"1455",1227,2020-09-19,"Simone Icardi","Virtus Entella","Casertana","Undisclosed"
"1456",1228,2020-09-19,"Cengiz Ünder","Roma","Leicester City","Loan"
"1457",1912,2020-09-19,"Gareth Bale","Real Madrid"," Tottenham Hotspur","Loan-other"
"1458",1913,2020-09-19,"Sergio Reguilón","Real Madrid"," Tottenham Hotspur","Transfer-€30M"
"1459",735,2020-09-20,"Cengiz Ünder","Roma","Leicester City","loan"
"1460",1229,2020-09-20,"Tommaso Morosini","Monza","Feralpisalò","Loan"
"1461",1723,2020-09-20,"Raúl Guti","Zaragoza","Elche","Transfer-€5M"
"1462",1854,2020-09-20,"Jony"," Lazio","Osasuna","Loan-other"
"1463",1957,2020-09-20,"Giorgi Aburjania","Sevilla","Oviedo","Transfer-other"
"1464",501,2020-09-21,"Rúnar Alex Rúnarsson","Dijon","Arsenal","Undisclosed"
"1465",502,2020-09-21,"Dominic Samuel","Blackburn Rovers","Gillingham","Free"
"1466",503,2020-09-21,"Mikel San José","Athletic Bilbao","Birmingham City","Free"
"1467",736,2020-09-21,"Saman Ghoddos","Amiens","Brentford","loan"
"1468",737,2020-09-21,"Luke McCormick","Chelsea","Bristol Rovers","loan"
"1469",738,2020-09-21,"Jordan Stevens","Leeds United","Swindon Town","loan"
"1470",1230,2020-09-21,"Andrea Cambiaso","Genoa","Empoli","Loan"
"1471",1231,2020-09-21,"Lucas Boyé","Torino","Elche","Loan"
"1472",1232,2020-09-21,"Abdou Doumbia","Reggina","Carrarese","Undisclosed"
"1473",1233,2020-09-21,"Nahuel Estévez","Estudiantes","Spezia","Loan"
"1474",1234,2020-09-21,"Tasos Avlonitis","Sturm Graz","Ascoli","Undisclosed"
"1475",1235,2020-09-21,"Federico Del Frate","Monza","Pro Sesto","Loan"
"1476",1236,2020-09-21,"Federico Marchesi","Monza","Pro Sesto","Undisclosed"
"1477",1237,2020-09-21,"Pedro Pereira","Benfica","Crotone","Loan"
"1478",1238,2020-09-21,"Sam Lammers","PSV Eindhoven","Atalanta","Loan"
"1479",1588,2020-09-21,"Mikel San José","Athletic Bilbao"," Birmingham City","Transfer-other"
"1480",1632,2020-09-21,"Moussa Wagué","Barcelona"," PAOK","Loan-other"
"1481",1724,2020-09-21,"Lucas Boyé"," Torino","Elche","Loan-other"
"1482",1741,2020-09-21,"Manuel Sánchez","Elche","Real Ávila","Transfer-other"
"1483",504,2020-09-22,"Harry Arter","Bournemouth","Nottingham Forest","Undisclosed"
"1484",505,2020-09-22,"Luke Garbutt","Everton","Blackpool","Free"
"1485",506,2020-09-22,"Liam Gibson","Newcastle United","Morecambe","Free"
"1486",507,2020-09-22,"Jordan Ibe","Bournemouth","Derby County","Free"
"1487",508,2020-09-22,"Alexander Sørloth","Crystal Palace","RB Leipzig","Undisclosed"
"1488",739,2020-09-22,"Léo Bonatini","Wolverhampton Wanderers","Grasshopper","loan"
"1489",740,2020-09-22,"Idris El Mizouni","Ipswich Town","Cambridge United","loan"
"1490",741,2020-09-22,"Lewis Gibson","Everton","Reading","loan"
"1491",742,2020-09-22,"Mark McGuinness","Arsenal","Ipswich Town","loan"
"1492",743,2020-09-22,"Tom Sang","Cardiff City","Cheltenham Town","loan"
"1493",1239,2020-09-22,"Dean Liço","Lazio","Ascoli","Undisclosed"
"1494",1240,2020-09-22,"Davide Di Francesco","Ascoli","Teramo","Loan"
"1495",1241,2020-09-22,"Edoardo Blondett","Reggina","Alessandria","Undisclosed"
"1496",1242,2020-09-22,"Matti Lund Nielsen","Reggina","Pro Vercelli","Undisclosed"
"1497",1243,2020-09-22,"Fabiano Parisi","Avellino","Empoli","Undisclosed"
"1498",1244,2020-09-22,"Filippo Nardi","Novara","Cremonese","Loan"
"1499",1245,2020-09-22,"Lorenzo Colombini","Spezia","Novara","Loan"
"1500",1246,2020-09-22,"Kevin Parzajuk","Club Olimpia","Brescia","Loan"
"1501",1247,2020-09-22,"Pawel Jaroszynski","Genoa","Pescara","Loan"
"1502",1248,2020-09-22,"Johan Mojica","Girona","Atalanta","Loan"
"1503",1249,2020-09-22,"Álvaro Morata","Atlético Madrid","Juventus","Loan"
"1504",1250,2020-09-22,"Arturo Vidal","Barcelona","Inter","Free"
"1505",1251,2020-09-22,"Jony Rodríguez","Lazio","Osasuna","Loan"
"1506",1252,2020-09-22,"Jean-Claude Billong","Benevento","Hatayspor","Undisclosed"
"1507",1253,2020-09-22,"Manuel De Luca","Torino","Chievo","Undisclosed"
"1508",1254,2020-09-22,"Daniele Sarzi Puttini","Carpi","Ascoli","Undisclosed"
"1509",1255,2020-09-22,"Cosimo Chiricò","Monza","Ascoli","Undisclosed"
"1510",1608,2020-09-22,"Álvaro Morata","Atlético Madrid"," Juventus","Loan-€10M"
"1511",1633,2020-09-22,"Arturo Vidal","Barcelona"," Inter Milan","Transfer-€1M"
"1512",1671,2020-09-22,"Dani Romera","Cádiz","Ponferradina","Transfer-other"
"1513",1725,2020-09-22,"Cifu","Málaga","Elche","Transfer-other"
"1514",2028,2020-09-22,"Jorge Cuenca","Barcelona B","Villarreal","Transfer-€2.5M"
"1515",2047,2020-09-22,"Jorge Cuenca","Villarreal","Almería","Loan-other"
"1516",509,2020-09-23,"Scott McKenna","Aberdeen","Nottingham Forest","Undisclosed"
"1517",510,2020-09-23,"Nélson Semedo","Barcelona","Wolverhampton Wanderers","£27.6m"
"1518",511,2020-09-23,"Yann Songo'o","Scunthorpe United","Morecambe","Free"
"1519",744,2020-09-23,"Rasmus Nicolaisen","Midtjylland","Portsmouth","loan"
"1520",745,2020-09-23,"Jayden Richardson","Nottingham Forest","Forest Green Rovers","loan"
"1521",1256,2020-09-23,"Simone Iocolano","Monza","Lecco","Undisclosed"
"1522",1257,2020-09-23,"Giuseppe Montaperto","Empoli","Cavese","Loan"
"1523",1258,2020-09-23,"Nicola Nanni","Crotone","Cesena","Undisclosed"
"1524",1259,2020-09-23,"Andrea Schiavone","Bari","Salernitana","Loan"
"1525",1260,2020-09-23,"Emanuele Cigagna","Venezia","Paganese","Loan"
"1526",1261,2020-09-23,"Matteo Stoppa","Sampdoria","Pistoiese","Loan"
"1527",1262,2020-09-23,"Mohamed Bahlouli","Sampdoria","Cosenza","Loan"
"1528",1263,2020-09-23,"Julián Illanes","Fiorentina","Chievo","Loan"
"1529",1264,2020-09-23,"Diego Farias","Cagliari","Spezia","Loan"
"1530",1265,2020-09-23,"Alessandro Deiola","Cagliari","Spezia","Loan"
"1531",1266,2020-09-23,"Tommaso Pobega","Milan","Spezia","Loan"
"1532",1267,2020-09-23,"Alessandro Bordin","Spezia","Casertana","Loan"
"1533",1268,2020-09-23,"Francesco Forte","Juve Stabia","Venezia","Undisclosed"
"1534",1269,2020-09-23,"Pasquale Mazzocchi","Perugia","Venezia","Undisclosed"
"1535",1270,2020-09-23,"Mattéo Tramoni","Ajaccio","Cagliari","Undisclosed"
"1536",1271,2020-09-23,"Lisandru Tramoni","Ajaccio","Cagliari","Undisclosed"
"1537",1272,2020-09-23,"Zito Luvumbo","Primeiro de Agosto","Cagliari","Undisclosed"
"1538",1273,2020-09-23,"Adama Sane","Verona","Arezzo","Undisclosed"
"1539",1274,2020-09-23,"Alessio Santese","Roma","Ascoli","Undisclosed"
"1540",1275,2020-09-23,"Gianluca Di Chiara","Perugia","Reggina","Two-year loan"
"1541",1276,2020-09-23,"Ebrima Colley","Atalanta","Verona","Loan"
"1542",1277,2020-09-23,"Svante Ingelsson","Udinese","Paderborn","Loan"
"1543",1278,2020-09-23,"Emanuele Cicerelli","Lazio","Salernitana","Loan"
"1544",1279,2020-09-23,"Julian Chabot","Sampdoria","Spezia","Loan"
"1545",1599,2020-09-23,"Luis Suárez","Barcelona","Atlético Madrid","Transfer-other"
"1546",1634,2020-09-23,"Nélson Semedo","Barcelona"," Wolverhampton Wanderers","Transfer-€30M"
"1547",1635,2020-09-23,"Luis Suárez","Barcelona","Atlético Madrid","Transfer-other"
"1548",512,2020-09-24,"Jake Beesley","Solihull Moors","Rochdale","Undisclosed"
"1549",513,2020-09-24,"Rhys Fenlon","Burnley","Accrington Stanley","Free"
"1550",514,2020-09-24,"Diego Llorente","Real Sociedad","Leeds United","Undisclosed"
"1551",515,2020-09-24,"Édouard Mendy","Rennes","Chelsea","£22m"
"1552",516,2020-09-24,"Dale Stephens","Brighton & Hove Albion","Burnley","Undisclosed"
"1553",746,2020-09-24,"Hakeeb Adelakun","Bristol City","Hull City","loan"
"1554",747,2020-09-24,"Steve Seddon","Birmingham City","AFC Wimbledon","loan"
"1555",1280,2020-09-24,"Lucien Agoumé","Inter","Spezia","Loan"
"1556",1281,2020-09-24,"Arlind Ajeti","Vejle Boldklub","Reggiana","Undisclosed"
"1557",1282,2020-09-24,"Gianluca Bassano","Prato","Cittadella","Undisclosed"
"1558",1283,2020-09-24,"Aaron Hickey","Hearts","Bologna","Undisclosed"
"1559",1284,2020-09-24,"Gianmarco Cangiano","Bologna","Ascoli","Loan"
"1560",1285,2020-09-24,"Apostolos Vellios","Atromitos","Ascoli","Undisclosed"
"1561",1286,2020-09-24,"Ettore Gliozzi","Monza","Cosenza","Loan"
"1562",1287,2020-09-24,"Claud Adjapong","Sassuolo","Lecce","Loan"
"1563",1288,2020-09-24,"Matic Kotnik","Panionios","Brescia","Free"
"1564",1289,2020-09-24,"Raoul Bellanova","Atalanta","Pescara","Loan"
"1565",1290,2020-09-24,"Christian Capone","Atalanta","Pescara","Loan"
"1566",1291,2020-09-24,"Christian Mora","Atalanta","Alessandria","Two-year loan"
"1567",1292,2020-09-24,"Leonardo Ballarini","Pro Patria","Cremonese","Loan"
"1568",1293,2020-09-24,"Giacomo Manzari","Sassuolo","Carrarese","Loan"
"1569",1294,2020-09-24,"Giuseppe Fella","Monopoli","Salernitana","Undisclosed"
"1570",1295,2020-09-24,"Simone Palombi","Lazio","Pisa","Loan"
"1571",1296,2020-09-24,"Nicola Tintori","Inter","Pro Vercelli","Undisclosed"
"1572",1297,2020-09-24,"Diego Godín","Inter","Cagliari","Undisclosed"
"1573",1298,2020-09-24,"Vasile Mogo<U+0219>","Cremonese","Chievo","Undisclosed"
"1574",1299,2020-09-24,"Jawad El Yamiq","Genoa","Real Valladolid","Undisclosed"
"1575",1300,2020-09-24,"Riad Bajic","Udinese","Ascoli","Loan"
"1576",1301,2020-09-24,"Simone Sini","Ternana","Ascoli","Undisclosed"
"1577",1302,2020-09-24,"Lorenzo Laverone","Ascoli","Ternana","Undisclosed"
"1578",1303,2020-09-24,"Luigi Cuppone","Pisa","Casertana","Undisclosed"
"1579",1304,2020-09-24,"Arlind Ajeti","Vejle Boldklub","Reggiana","Undisclosed"
"1580",1305,2020-09-24,"Nunzio Zizzania","Ascoli","Fermana","Undisclosed"
"1581",1306,2020-09-24,"Darian Males","Inter","Genoa","Loan"
"1582",1609,2020-09-24,"Santiago Arias","Atlético Madrid"," Bayer Leverkusen","Loan-€3M"
"1583",1672,2020-09-24,"Daniel Sotres","Cádiz","Rayo Majadahonda","Loan-other"
"1584",1805,2020-09-24,"Javier Ontiveros","Villarreal","Huesca","Loan-€650K"
"1585",1928,2020-09-24,"Diego Llorente","Real Sociedad"," Leeds United","Transfer-€20M"
"1586",1994,2020-09-24,"Jawad El Yamiq"," Genoa","Valladolid","Transfer-other"
"1587",2048,2020-09-24,"Javier Ontiveros","Villarreal","Huesca","Loan-€650K"
"1588",517,2020-09-25,"Leon Clarke","Sheffield United","Shrewsbury Town","Free"
"1589",518,2020-09-25,"Bobby Duncan","Fiorentina","Derby County","Undisclosed"
"1590",519,2020-09-25,"Gareth Evans","Portsmouth","Bradford City","Free"
"1591",520,2020-09-25,"Florent Hadergjonaj","Huddersfield Town","Kasimpasa","Undisclosed"
"1592",521,2020-09-25,"Nicholas Ioannou","APOEL","Nottingham Forest","Undisclosed"
"1593",522,2020-09-25,"Ben Watson","Nottingham Forest","Charlton Athletic","Free"
"1594",748,2020-09-25,"Dennis Adeniran","Everton","Wycombe Wanderers","loan"
"1595",749,2020-09-25,"Brennan Johnson","Nottingham Forest","Lincoln City","loan"
"1596",750,2020-09-25,"Alfie McCalmont","Leeds United","Oldham Athletic","loan"
"1597",751,2020-09-25,"Barrie McKay","Swansea City","Fleetwood Town","loan"
"1598",752,2020-09-25,"Jerome Opoku","Fulham","Plymouth Argyle","loan"
"1599",753,2020-09-25,"Kyle Taylor","Bournemouth","Southend United","loan"
"1600",754,2020-09-25,"Mbwana Samatta","Aston Villa","Fenerbahçe","loan"
"1601",1307,2020-09-25,"Andrew Gravillon","Inter","Lorient","Loan"
"1602",1308,2020-09-25,"Antonio Candreva","Inter","Sampdoria","Loan"
"1603",1309,2020-09-25,"Eddie Salcedo","Inter","Verona","Loan"
"1604",1310,2020-09-25,"Nicolas Haas","Atalanta","Empoli","Loan"
"1605",1311,2020-09-25,"Arkadiusz Reca","Atalanta","Crotone","Loan"
"1606",1312,2020-09-25,"Zak Ruggiero","Crotone","Pro Vercelli","Loan"
"1607",1313,2020-09-25,"Luca Mazzitelli","Sassuolo","Pisa","Loan"
"1608",1314,2020-09-25,"Jérémie Broh","Sassuolo","Palermo","Undisclosed"
"1609",1315,2020-09-25,"Luca Palmiero","Chievo","Napoli","Loan"
"1610",1316,2020-09-25,"Kevin Bonifazi","S.P.A.L.","Udinese","Loan"
"1611",1317,2020-09-25,"Enrico Brignola","Sassuolo","S.P.A.L.","Loan"
"1612",1318,2020-09-25,"Leonardo Sernicola","Sassuolo","S.P.A.L.","Loan"
"1613",1319,2020-09-25,"Caleb Okoli","Atalanta","S.P.A.L.","Loan"
"1614",1320,2020-09-25,"Luca Ranieri","Fiorentina","S.P.A.L.","Loan"
"1615",1321,2020-09-25,"Riccardo Gatti","Atalanta","Reggiana","Undisclosed"
"1616",1322,2020-09-25,"Salvatore Elia","Atalanta","Perugia","Loan"
"1617",1323,2020-09-25,"Andrea Zaccagno","Torino","Cremonese","Undisclosed"
"1618",1324,2020-09-25,"Alessandro Fiordaliso","Torino","Cremonese","Undisclosed"
"1619",1325,2020-09-25,"Francesco Rillo","Benevento","Fano","Loan"
"1620",1326,2020-09-25,"Marco Sala","Sassuolo","S.P.A.L.","Loan"
"1621",1726,2020-09-25,"Luismi","Valladolid","Elche","Transfer-other"
"1622",2010,2020-09-25,"Luismi","Valladolid","Elche","Transfer-other"
"1623",523,2020-09-26,"Arthur Gnahoua","Macclesfield Town","Bolton Wanderers","Free"
"1624",524,2020-09-26,"Lloyd Isgrove","Swindon Town","Bolton Wanderers","Free"
"1625",755,2020-09-26,"Akin Famewo","Norwich City","Charlton Athletic","loan"
"1626",1327,2020-09-26,"Daniele Verde","AEK Athens","Spezia","Loan"
"1627",1328,2020-09-26,"Luca Pellegrini","Juventus","Genoa","Loan"
"1628",1329,2020-09-26,"Peter Ankersen","Genoa","Copenhagen","Undisclosed"
"1629",1330,2020-09-26,"Lautaro Valenti","Lanús","Parma","Loan"
"1630",1331,2020-09-26,"Paolo Marchi","Reggina","Ravenna","Loan"
"1631",1332,2020-09-26,"Mario Prezioso","Napoli","Modena","Loan"
"1632",1333,2020-09-26,"Simone Andrea Ganz","Ascoli","Mantova","Loan"
"1633",2011,2020-09-26,"Antoñito","Valladolid"," Panathinaikos","Transfer-other"
"1634",1770,2020-09-27,"Filip Manojlovic","Getafe","San Sebastián de los Reyes","Transfer-other"
"1635",525,2020-09-28,"Roberto Pereyra","Watford","Udinese","Undisclosed"
"1636",756,2020-09-28,"Declan Drysdale","Coventry City","Gillingham","loan"
"1637",757,2020-09-28,"Kamil Grabara","Liverpool","AGF","loan"
"1638",758,2020-09-28,"Loris Karius","Liverpool","Union Berlin","loan"
"1639",759,2020-09-28,"Badou Ndiaye","Stoke City","Fatih Karagümrük","loan"
"1640",1334,2020-09-28,"Abdelhamid Sabiri","Paderborn","Ascoli","Undisclosed"
"1641",1335,2020-09-28,"Roberto Pereyra","Watford","Udinese","Undisclosed"
"1642",1336,2020-09-28,"Thiago Cionek","S.P.A.L.","Reggina","Free"
"1643",1337,2020-09-28,"Dimitris Sounas","Reggina","Perugia","Undisclosed"
"1644",1338,2020-09-28,"Ognjen Stijepovic","Sampdoria","Alessandria","Loan"
"1645",1339,2020-09-28,"Nicola Rauti","Torino","Palermo","Loan"
"1646",1340,2020-09-28,"Kevin-Prince Boateng","Fiorentina","Monza","Free"
"1647",1341,2020-09-28,"Leandro Fernandes","Juventus","Pescara","Loan"
"1648",1342,2020-09-28,"Raúl Asencio","Genoa","Pescara","Loan"
"1649",1343,2020-09-28,"Pietro Perina","Cosenza","Vicenza","Free"
